,T_loss,S_loss,S_valid_acc
0,6.093369111418724,1.8979435101151467,28.599999999999998
1,5.237709833681583,1.7129623174667359,35.0
2,4.836177138984203,1.5641998916864395,34.9
3,4.6347594782710075,1.4892994184046984,38.0
4,4.254342713952065,1.4474785547703504,37.5
5,4.091403271257877,1.4134609807282685,43.1
6,3.9836010694503785,1.418131810426712,44.2
7,3.747994977980852,1.3779321610927582,47.4
8,3.5919248782098294,1.3428111415356399,47.099999999999994
9,3.3923696584999563,1.3132470220327377,47.8
10,3.346563007682562,1.2889507547020913,50.1
11,3.147843210399151,1.302183674275875,49.7
12,3.0343003660440444,1.2982149008661508,49.9
13,2.885616493225098,1.2810046810656786,50.6
14,2.7365779757499693,1.2893772799521686,50.4
15,2.738804144412279,1.2776841137558221,50.1
16,2.5108442798256876,1.2400400571525096,55.60000000000001
17,2.3647609572857617,1.2442821521311997,50.4
18,2.2818681716918947,1.19926973618567,51.4
19,2.154174780845642,1.2544551178812982,52.1
20,2.0641411017626523,1.2324895668774842,55.2
21,1.9882688749581576,1.2213839028030633,57.99999999999999
22,1.9321714591234922,1.2632418438792228,52.300000000000004
23,1.7440962228924035,1.2455473203212022,55.300000000000004
24,1.6635229229927062,1.2157722432166338,53.800000000000004
25,1.5880314216017724,1.2216539446264505,53.7
26,1.4750810651108623,1.2139176297932863,56.8
27,1.3709619307890535,1.181020624190569,55.7
28,1.264618454873562,1.1981894250959157,56.8
29,1.1927433783188461,1.2069199908524753,56.39999999999999
30,1.284341269917786,1.2127150863409042,58.199999999999996
31,1.12828732971102,1.2238412145525217,58.3
32,1.0780674668960273,1.1905478041619062,59.5
33,1.031515320856124,1.1982867874205112,57.8
34,1.0304103367030621,1.2097098376601934,61.6
35,0.8348298892378807,1.1886767216026783,58.099999999999994
36,0.9430894412100315,1.1716326668858528,58.3
37,0.8136289773508907,1.1676217131316662,62.8
38,0.7906411414500326,1.17090627476573,58.099999999999994
39,0.7250139432260767,1.1824371486902236,56.699999999999996
40,0.6641801917925477,1.1654587868601083,57.8
41,0.6982642045244575,1.1826988093554973,60.199999999999996
42,0.6250671872869134,1.1815684974193572,59.9
43,0.6374928296310827,1.1356850322335958,62.6
44,0.5502282772213221,1.1720940858125686,58.5
45,0.6887139842030592,1.157998177781701,62.7
46,0.5394714682246559,1.1484124068170787,60.9
47,0.58838147202041,1.124112617969513,59.9
48,0.5686317225918174,1.1506062883883714,60.3
49,0.6249055629828945,1.1304861426353454,59.0
50,0.5415983523591421,1.1238451268523932,59.3
51,0.48602456973167135,1.1228630524128675,60.3
52,0.5038779062102549,1.128161783516407,63.2
53,0.41910129837924615,1.1024038277566433,61.7
54,0.5888570642564446,1.1152859892696143,60.9
55,0.4833678880007938,1.1112294375896454,62.4
56,0.4413035255856812,1.1181183222681284,61.199999999999996
57,0.46190812938148157,1.127739704400301,61.5
58,0.3712685517501086,1.1097778525203466,62.4
59,0.4215336647932418,1.1061968062072993,61.9
60,0.42234000817406925,1.1119572028517724,62.2
61,0.42890048792469315,1.1323349744081497,64.0
62,0.3859617105103098,1.1301006954163313,63.3
63,0.363272756425431,1.1016264468431474,63.6
64,0.4483375583426096,1.130358074977994,62.9
65,0.42306567119667304,1.111902153491974,63.1
66,0.32446279329014943,1.0776240576058627,62.7
67,0.3552682539448142,1.0803922083228827,63.4
68,0.3278139188187197,1.0882211472839116,64.0
69,0.35864189273852387,1.0876048929989337,62.3
70,0.4016218382283114,1.0901370070874692,65.60000000000001
71,0.3171538490511011,1.0898002985864879,65.0
72,0.35013792441750413,1.0686949569731952,65.5
73,0.2960545838534017,1.0703433725982905,66.2
74,0.2652209174528252,1.0523222792893647,60.8
75,0.3943724134383956,1.076958505436778,63.7
76,0.27979629909968934,1.0314821038395166,64.4
77,0.24917928785725962,1.0378641631454228,64.4
78,0.3414860738092102,1.107304386049509,62.0
79,0.3409115693008061,1.080499918758869,62.2
80,0.2326822791743325,1.033910059183836,63.4
81,0.32279728063149377,1.049484285339713,62.7
82,0.3146007814328186,1.0918201714754106,60.3
83,0.35188161220867187,1.0741387020796538,62.1
84,0.25136667999322526,1.0337366074323655,64.0
85,0.2557747828046558,1.0593173317611217,65.7
86,0.2414515977114206,1.0438830271363257,65.3
87,0.3032056998810731,1.0572012029588223,64.4
88,0.32046980157902,1.0438352674245834,64.1
89,0.2204743441659957,1.0391394086182117,64.60000000000001
90,0.24369227719726042,1.0256553396582604,65.4
91,0.2787302958749933,1.055635504424572,65.4
92,0.21010746809770353,1.0508830171078443,63.6
93,0.29471849408291745,1.0625057145953178,65.0
94,0.30936203098099213,1.0565471313893795,63.800000000000004
95,0.20565540494135348,0.9989482382312417,65.8
96,0.21039764001907316,1.0345188526436686,65.2
97,0.2965182481566444,1.0540430013090372,64.2
98,0.241026343323756,1.0530366491526366,61.9
99,0.2317766075633699,1.008099034242332,63.800000000000004
100,0.24812934354704339,1.05513188354671,64.9
101,0.19674918313103262,1.0403757996857166,63.4
102,0.22274123410752508,1.0070281770080327,64.7
103,0.22789196452868055,1.0053911462426186,64.3
104,0.20938589686556952,1.0632649920880795,65.5
105,0.24427170034032314,1.014992382004857,66.7
106,0.2292135431584029,0.997977058403194,66.7
107,0.253969877740019,1.0287002369761467,63.6
108,0.28771397046220953,1.0506077121943236,64.2
109,0.16235095369484043,0.977433630079031,67.30000000000001
110,0.2055626762783504,1.0057206969708203,65.8
111,0.16569687008159234,1.0195249021053314,62.6
112,0.26765771478821987,1.0133689688518643,66.5
113,0.25444695575279186,1.0204587921500206,65.5
114,0.20972025659575594,1.009740374237299,63.3
115,0.1903034659990226,1.0074822627007962,65.5
116,0.12170368096412858,0.9937848653644323,64.9
117,0.22648773120017723,0.9850432390347124,64.4
118,0.22398711932473817,0.9966673754155636,66.3
119,0.2146444766971399,1.0091979652643204,64.2
120,0.2231716719456017,0.9676518123596907,66.5
121,0.1846466845883697,0.9764012891799212,67.80000000000001
122,0.19601802647521255,1.0044215206056832,66.60000000000001
123,0.2210969727311749,0.9993067126721144,65.8
124,0.1343908588969498,0.9818102352321147,66.2
